 PersonId , FinancialYearId , Income , TaxPayable 
 736 , 6 , 396455 , 7453 
 859 , 7 , 124788 , 6653 
 680 , 6 , 192996 , 7453 
 625 , 5 , 218049 , 7453 
 219 , 2 , 135671 , 4753 
 456 , 8 , 128080 , 7453 
 457 , 8 , 279481 , 4753 
 87 , 1 , 372602 , 5653 
 839 , 7 , 324588 , 6653 
 171 , 2 , 362222 , 5653 
 645 , 6 , 385041 , 4753 
 827 , 7 , 497219 , 7453 
 220 , 2 , 258382 , 5653 
 1000 , 8 , 225229 , 7453 
 482 , 4 , 449631 , 4753 
 653 , 6 , 375468 , 6653 
 720 , 6 , 290971 , 4753 
 810 , 7 , 414597 , 7453 
 101 , 1 , 270159 , 7453 
 730 , 6 , 293478 , 6653 
 52 , 6 , 994532 , 5653 
 126 , 2 , 128813 , 9953 
 906 , 8 , 124460 , 7453 
 190 , 2 , 105174 , 10953 
 477 , 4 , 382764 , 10953 
 541 , 5 , 493947 , 7453 
 326 , 3 , 329138 , 6653 
 672 , 6 , 164701 , 4753 
 469 , 4 , 280749 , 7453 
 834 , 7 , 138002 , 5653 
 75 , 7 , 406326 , 7453 
 794 , 7 , 416637 , 7453 
 765 , 7 , 99660 , 7453 
 938 , 8 , 302604 , 10953 
 295 , 3 , 14678 , 6653 
 523 , 5 , 106565 , 7453 
 664 , 6 , 495001 , 4753 
 993 , 3 , 60414 , 10953 
 287 , 3 , 75480 , 7453 
 821 , 7 , 56392 , 5653 
 223 , 2 , 290970 , 7453 
 187 , 2 , 312015 , 7453 
 69 , 1 , 157103 , 9953 
 61 , 5 , 326825 , 7453 
 694 , 6 , 112790 , 7453 
 631 , 6 , 461068 , 6653 
 928 , 8 , 168226 , 7453 
 50 , 2 , 279777 , 7453 
 929 , 8 , 243985 , 7453 
 67 , 1 , 81282 , 5653 
 901 , 8 , 290726 , 7453 
 679 , 6 , 157553 , 9953 
 94 , 1 , 256046 , 7453 
 150 , 2 , 175499 , 7453 
 107 , 1 , 242383 , 9953 
 610 , 5 , 317642 , 5653 
 954 , 8 , 50328 , 6653 
 491 , 4 , 137161 , 4753 
 149 , 2 , 995286 , 7453 
 19 , 6 , 141724 , 10953 
 570 , 5 , 294542 , 5653 
 226 , 2 , 164779 , 7453 
 619 , 5 , 141852 , 5653 
 6 , 1 , 240986 , 7453 
 361 , 3 , 455456 , 7453 
 851 , 7 , 468404 , 10953 
 63 , 1 , 447559 , 7453 
 282 , 3 , 455778 , 6653 
 705 , 6 , 128845 , 7453 
 959 , 8 , 393066 , 7453 
 34 , 8 , 380467 , 7453 
 388 , 4 , 280557 , 7453 
 93 , 5 , 393517 , 7453 
 281 , 3 , 263767 , 7453 
 507 , 5 , 52508 , 6653 
 532 , 5 , 76917 , 7453 
 58 , 1 , 471711 , 4753 
 131 , 3 , 297635 , 7453 
 497 , 4 , 492385 , 7453 
 847 , 7 , 421696 , 7453 
 614 , 5 , 375721 , 4753 
 105 , 1 , 99361 , 4753 
 743 , 6 , 420716 , 7453 
 402 , 4 , 249467 , 7453 
 934 , 8 , 347277 , 7453 
 131 , 2 , 298773 , 9953 
 25 , 6 , 210591 , 4753 
 616 , 5 , 424228 , 6653 
 831 , 7 , 110221 , 4753 
 686 , 6 , 328698 , 6653 
 118 , 5 , 106237 , 7453 
 173 , 2 , 407840 , 7453 
 185 , 2 , 225128 , 6653 
 113 , 5 , 499757 , 7453 
 251 , 3 , 257451 , 4753 
 998 , 8 , 176190 , 7453 
 569 , 5 , 220162 , 5653 
 64 , 1 , 416117 , 7453 
 264 , 3 , 370929 , 7453 
 843 , 7 , 144386 , 7453 
 154 , 5 , 63509 , 7453 
 646 , 6 , 212448 , 6653 
 517 , 5 , 200887 , 7453 
 971 , 8 , 350920 , 7453 
 78 , 1 , 200816 , 7453 
 513 , 5 , 60168 , 6653 
 156 , 2 , 264037 , 7453 
 814 , 7 , 492279 , 7453 
 35 , 6 , 172924 , 10953 
 576 , 5 , 215465 , 7453 
 553 , 5 , 345931 , 4753 
 673 , 6 , 252693 , 9953 
 995 , 8 , 144777 , 7453 
 302 , 3 , 413591 , 4753 
 65 , 1 , 266004 , 10953 
 466 , 4 , 249580 , 7453 
 484 , 4 , 244064 , 10953 
 217 , 2 , 392386 , 7453 
 72 , 1 , 393709 , 7453 
 231 , 2 , 207123 , 9953 
 151 , 2 , 307813 , 9953 
 447 , 4 , 79930 , 7453 
 452 , 4 , 395557 , 7453 
 20 , 1 , 300192 , 5653 
 345 , 4 , 996829 , 7453 
 21 , 7 , 472628 , 6653 
 203 , 2 , 105428 , 6653 
 914 , 8 , 459761 , 4753 
 30 , 1 , 56315 , 7453 
 510 , 5 , 376319 , 7453 
 963 , 8 , 356755 , 7453 
 994 , 8 , 105593 , 9953 
 17 , 1 , 426706 , 7453 
 654 , 6 , 39778 , 6653 
 279 , 3 , 408186 , 7453 
 968 , 8 , 213272 , 5653 
 588 , 5 , 398475 , 7453 
 773 , 7 , 119796 , 7453 
 325 , 3 , 98650 , 7453 
 421 , 4 , 997108 , 6653 
 975 , 8 , 84735 , 7453 
 886 , 8 , 218312 , 5653 
 973 , 8 , 301303 , 9953 
 256 , 3 , 394756 , 7453 
 199 , 2 , 482767 , 7453 
 458 , 8 , 353544 , 10953 
 179 , 2 , 313062 , 5653 
 883 , 8 , 311538 , 6653 
 545 , 5 , 217752 , 5653 
 786 , 7 , 57871 , 4753 
 515 , 5 , 432127 , 7453 
 353 , 3 , 327777 , 7453 
 23 , 8 , 72407 , 7453 
 34 , 1 , 213806 , 7453 
 692 , 6 , 996573 , 9953 
 122 , 1 , 490180 , 7453 
 55 , 2 , 316451 , 4753 
 136 , 4 , 400695 , 7453 
 582 , 5 , 64091 , 4753 
 262 , 3 , 228188 , 6653 
 311 , 3 , 454740 , 7453 
 243 , 2 , 304277 , 7453 
 785 , 7 , 485964 , 10953 
 134 , 2 , 296605 , 7453 
 613 , 5 , 358711 , 4753 
 560 , 5 , 290998 , 6653 
 656 , 6 , 325988 , 6653 
 342 , 3 , 246778 , 6653 
 24 , 1 , 55405 , 7453 
 98 , 1 , 102731 , 4753 
 878 , 8 , 351105 , 7453 
 711 , 6 , 174267 , 7453 
 453 , 8 , 343735 , 7453 
 652 , 6 , 106601 , 4753 
 201 , 3 , 172387 , 7453 
 265 , 3 , 139501 , 4753 
 475 , 4 , 272027 , 7453 
 196 , 2 , 50801 , 4753 
 888 , 8 , 317425 , 7453 
 492 , 4 , 483286 , 7453 
 638 , 6 , 209565 , 7453 
 320 , 3 , 293451 , 4753 
 369 , 3 , 292008 , 6653 
 245 , 2 , 498445 , 7453 
 18 , 8 , 444193 , 9953 
 611 , 5 , 74578 , 6653 
 2 , 1 , 83185 , 7453 
 984 , 8 , 262900 , 7453 
 962 , 8 , 111425 , 7453 
 158 , 2 , 418007 , 7453 
 195 , 7 , 396381 , 4753 
 92 , 1 , 497781 , 4753 
 191 , 2 , 105705 , 7453 
 124 , 1 , 370463 , 9953 
 111 , 1 , 382368 , 6653 
 799 , 6 , 280459 , 7453 
 102 , 1 , 232348 , 6653 
 840 , 7 , 54698 , 6653 
 166 , 6 , 86045 , 7453 
 573 , 5 , 242429 , 7453 
 242 , 2 , 77555 , 7453 
 838 , 7 , 116283 , 9953 
 860 , 7 , 306199 , 7453 
 448 , 4 , 165021 , 4753 
 45 , 8 , 206766 , 7453 
 804 , 7 , 307859 , 7453 
 461 , 4 , 484043 , 9953 
 341 , 3 , 465807 , 7453 
 779 , 7 , 91418 , 6653 
 427 , 4 , 247072 , 5653 
 648 , 6 , 268152 , 5653 
 71 , 8 , 316090 , 7453 
 609 , 5 , 199270 , 7453 
 90 , 1 , 80806 , 7453 
 624 , 5 , 68623 , 9953 
 991 , 8 , 210849 , 7453 
 874 , 7 , 62269 , 7453 
 540 , 5 , 487520 , 7453 
 138 , 2 , 352412 , 5653 
 244 , 1 , 329799 , 7453 
 558 , 5 , 257152 , 5653 
 169 , 6 , 113087 , 7453 
 380 , 4 , 185353 , 9953 
 867 , 7 , 137398 , 6653 
 84 , 3 , 206350 , 7453 
 787 , 7 , 359925 , 7453 
 520 , 5 , 118562 , 5653 
 830 , 7 , 473273 , 9953 
 542 , 5 , 224299 , 7453 
 130 , 5 , 391929 , 7453 
 163 , 2 , 407153 , 9953 
 635 , 6 , 267329 , 7453 
 554 , 5 , 464757 , 7453 
 20 , 3 , 124995 , 7453 
 250 , 2 , 455730 , 7453 
 801 , 7 , 143281 , 4753 
 264 , 4 , 487759 , 7453 
 922 , 8 , 176986 , 7453 
 47 , 3 , 341678 , 6653 
 193 , 2 , 186994 , 10953 
 178 , 2 , 94935 , 7453 
 662 , 6 , 117379 , 7453 
 206 , 2 , 221482 , 5653 
 535 , 5 , 364354 , 10953 
 187 , 5 , 199854 , 10953 
 774 , 7 , 130291 , 4753 
 483 , 4 , 414510 , 7453 
 254 , 1 , 47459 , 7453 
 439 , 4 , 351840 , 7453 
 120 , 1 , 221519 , 7453 
 260 , 7 , 268190 , 7453 
 563 , 5 , 244829 , 7453 
 703 , 6 , 202286 , 7453 
 641 , 6 , 256312 , 5653 
 16 , 1 , 485278 , 6653 
 148 , 5 , 464469 , 7453 
 48 , 4 , 430931 , 4753 
 145 , 8 , 218734 , 10953 
 123 , 1 , 458671 , 4753 
 121 , 1 , 353442 , 5653 
 284 , 3 , 239297 , 7453 
 103 , 6 , 60769 , 7453 
 800 , 7 , 291573 , 9953 
 232 , 3 , 199490 , 7453 
 156 , 3 , 99519 , 7453 
 13 , 1 , 50823 , 9953 
 446 , 4 , 351993 , 9953 
 92 , 3 , 58274 , 10953 
 255 , 7 , 125077 , 7453 
 824 , 7 , 425342 , 5653 
 531 , 5 , 223090 , 7453 
 952 , 8 , 385283 , 9953 
 184 , 2 , 195841 , 4753 
 946 , 8 , 216078 , 6653 
 852 , 7 , 284797 , 7453 
 64 , 8 , 145772 , 5653 
 467 , 4 , 391606 , 7453 
 845 , 7 , 32078 , 6653 
 357 , 3 , 437545 , 7453 
 552 , 5 , 126059 , 7453 
 305 , 3 , 438815 , 7453 
 419 , 4 , 93663 , 9953 
 391 , 4 , 171499 , 7453 
 422 , 4 , 52714 , 10953 
 663 , 6 , 173738 , 6653 
 601 , 5 , 212323 , 9953 
 932 , 8 , 115043 , 9953 
 913 , 8 , 258444 , 10953 
 300 , 3 , 139718 , 6653 
 681 , 6 , 491262 , 5653 
 343 , 3 , 212351 , 4753 
 994 , 4 , 319025 , 7453 
 320 , 7 , 218316 , 7453 
 175 , 2 , 488237 , 7453 
 910 , 8 , 447037 , 7453 
 284 , 5 , 84166 , 7453 
 17 , 7 , 325806 , 7453 
 950 , 8 , 71991 , 4753 
 271 , 3 , 99435 , 7453 
 215 , 4 , 199031 , 4753 
 328 , 3 , 274558 , 6653 
 145 , 2 , 406235 , 7453 
 217 , 3 , 449823 , 9953 
 145 , 5 , 426499 , 7453 
 545 , 5 , 498429 , 7453 
 909 , 8 , 382908 , 6653 
 122 , 3 , 94588 , 6653 
 757 , 7 , 486208 , 6653 
 745 , 7 , 471516 , 7453 
 307 , 1 , 345505 , 7453 
 103 , 1 , 122862 , 5653 
 138 , 5 , 159932 , 5653 
 238 , 6 , 281145 , 7453 
 571 , 5 , 382612 , 5653 
 183 , 7 , 414627 , 7453 
 865 , 7 , 195634 , 10953 
 240 , 2 , 38787 , 7453 
 378 , 4 , 288858 , 6653 
 593 , 5 , 75751 , 4753 
 94 , 6 , 177595 , 7453 
 81 , 1 , 435781 , 4753 
 534 , 5 , 142845 , 7453 
 242 , 8 , 418557 , 7453 
 160 , 2 , 199815 , 7453 
 481 , 4 , 262990 , 7453 
 155 , 1 , 404066 , 7453 
 153 , 2 , 216966 , 7453 
 986 , 8 , 207604 , 10953 
 37 , 1 , 269042 , 5653 
 95 , 3 , 250630 , 7453 
 35 , 1 , 363967 , 7453 
 518 , 5 , 369614 , 10953 
 574 , 5 , 296563 , 9953 
 308 , 7 , 288513 , 9953 
 225 , 2 , 347101 , 4753 
 117 , 1 , 82580 , 7453 
 247 , 2 , 143841 , 4753 
 776 , 7 , 244935 , 7453 
 459 , 7 , 54286 , 7453 
 755 , 7 , 290831 , 4753 
 241 , 2 , 169935 , 7453 
 176 , 2 , 128835 , 7453 
 124 , 1 , 286928 , 6653 
 180 , 2 , 294213 , 9953 
 578 , 5 , 418399 , 7453 
 77 , 6 , 102419 , 7453 
 285 , 7 , 87835 , 7453 
 229 , 2 , 995705 , 7453 
 401 , 4 , 123610 , 7453 
 45 , 1 , 301403 , 9953 
 135 , 3 , 194829 , 7453 
 485 , 4 , 86947 , 7453 
 996 , 3 , 496241 , 4753 
 608 , 5 , 396840 , 7453 
 416 , 4 , 263251 , 4753 
 46 , 7 , 186069 , 7453 
 297 , 2 , 487678 , 6653 
 368 , 1 , 366007 , 7453 
 135 , 2 , 213508 , 6653 
 526 , 5 , 144363 , 9953 
 756 , 7 , 215941 , 4753 
 375 , 3 , 391384 , 10953 
 721 , 6 , 267166 , 7453 
 457 , 4 , 270885 , 7453 
 86 , 1 , 481539 , 7453 
 586 , 5 , 253248 , 6653 
 41 , 1 , 369969 , 7453 
 778 , 7 , 492677 , 7453 
 347 , 3 , 85510 , 7453 
 144 , 6 , 382046 , 7453 
 708 , 6 , 101793 , 9953 
 465 , 4 , 194402 , 5653 
 206 , 5 , 284572 , 5653 
 259 , 7 , 284921 , 4753 
 424 , 4 , 64259 , 7453 
 80 , 8 , 356945 , 7453 
 410 , 4 , 355961 , 4753 
 816 , 7 , 174344 , 10953 
 216 , 5 , 215417 , 7453 
 752 , 7 , 210571 , 4753 
 235 , 2 , 366230 , 7453 
 924 , 8 , 381262 , 5653 
 585 , 5 , 17454 , 10953 
 210 , 8 , 467639 , 7453 
 53 , 1 , 105801 , 4753 
 550 , 5 , 327019 , 7453 
 161 , 2 , 379974 , 10953 
 966 , 8 , 399724 , 10953 
 444 , 4 , 75262 , 5653 
 431 , 4 , 211032 , 5653 
 439 , 8 , 94902 , 5653 
 56 , 1 , 277834 , 10953 
 311 , 6 , 81426 , 7453 
 308 , 3 , 409923 , 9953 
 269 , 8 , 124845 , 7453 
 866 , 7 , 271952 , 5653 
 455 , 4 , 361670 , 7453 
 667 , 6 , 66042 , 5653 
 95 , 1 , 312674 , 10953 
 993 , 8 , 215150 , 7453 
 645 , 6 , 239051 , 4753 
 52 , 1 , 95159 , 7453 
 205 , 8 , 300194 , 10953 
 701 , 6 , 241564 , 10953 
 296 , 3 , 249610 , 7453 
 435 , 7 , 50427 , 7453 
 940 , 8 , 302376 , 7453 
 519 , 5 , 261319 , 7453 
 150 , 2 , 382581 , 4753 
 511 , 5 , 406306 , 7453 
 385 , 4 , 990108 , 6653 
 375 , 4 , 369934 , 10953 
 521 , 5 , 200590 , 7453 
 384 , 4 , 52936 , 7453 
 291 , 3 , 278199 , 7453 
 396 , 7 , 994679 , 7453 
 791 , 7 , 307390 , 7453 
 729 , 6 , 299527 , 7453 
 405 , 4 , 215084 , 10953 
 536 , 5 , 204520 , 7453 
 425 , 4 , 379875 , 7453 
 75 , 1 , 463646 , 7453 
 995 , 3 , 467414 , 10953 
 917 , 8 , 374478 , 6653 
 777 , 7 , 997144 , 10953 
 73 , 6 , 323959 , 7453 
 327 , 7 , 162975 , 7453 
 237 , 2 , 374650 , 7453 
 66 , 7 , 210031 , 4753 
 278 , 5 , 292308 , 6653 
 180 , 4 , 495276 , 7453 
 140 , 6 , 74518 , 6653 
 722 , 6 , 361670 , 7453 
 362 , 5 , 50266 , 7453 
 251 , 1 , 471521 , 4753 
 183 , 2 , 321071 , 4753 
 42 , 1 , 131068 , 6653 
 884 , 8 , 392430 , 7453 
 655 , 6 , 268029 , 7453 
 485 , 2 , 105373 , 9953 
 151 , 5 , 74643 , 9953 
 642 , 6 , 162054 , 10953 
 782 , 7 , 67143 , 9953 
 142 , 8 , 164556 , 7453 
 46 , 1 , 380925 , 7453 
 29 , 5 , 231568 , 6653 
 301 , 5 , 127244 , 10953 
 258 , 3 , 78445 , 7453 
 18 , 1 , 181745 , 7453 
 167 , 2 , 290211 , 4753 
 479 , 1 , 464562 , 5653 
 1 , 6 , 112143 , 9953 
 360 , 3 , 350959 , 7453 
 6 , 5 , 158154 , 10953 
 568 , 5 , 995276 , 7453 
 615 , 5 , 275405 , 7453 
 717 , 6 , 127745 , 7453 
 967 , 8 , 425717 , 7453 
 925 , 8 , 404420 , 7453 
 147 , 6 , 425651 , 4753 
 457 , 8 , 387453 , 9953 
 704 , 6 , 427726 , 7453 
 347 , 6 , 101288 , 6653 
 627 , 6 , 140272 , 5653 
 60 , 1 , 411031 , 4753 
 499 , 6 , 490190 , 7453 
 657 , 6 , 51664 , 10953 
 78 , 8 , 200324 , 10953 
 321 , 3 , 81416 , 7453 
 109 , 1 , 457063 , 9953 
 474 , 7 , 253611 , 4753 
 7 , 8 , 414960 , 7453 
 508 , 1 , 81497 , 7453 
 169 , 2 , 159711 , 4753 
 927 , 8 , 179877 , 7453 
 784 , 7 , 267820 , 7453 
 293 , 3 , 446503 , 9953 
 141 , 4 , 348458 , 6653 
 871 , 7 , 493553 , 9953 
 177 , 2 , 155575 , 7453 
 118 , 1 , 246714 , 10953 
 567 , 5 , 134485 , 7453 
 70 , 2 , 242860 , 7453 
 279 , 6 , 419821 , 4753 
 304 , 4 , 327747 , 7453 
 726 , 6 , 499132 , 5653 
 382 , 4 , 484560 , 7453 
 288 , 2 , 253516 , 7453 
 21 , 1 , 214990 , 7453 
 261 , 4 , 246115 , 7453 
 349 , 4 , 249925 , 7453 
 530 , 1 , 205352 , 5653 
 960 , 8 , 488010 , 7453 
 969 , 8 , 342378 , 6653 
 244 , 2 , 217920 , 7453 
 529 , 8 , 146917 , 7453 
 246 , 8 , 110766 , 7453 
 164 , 2 , 426871 , 4753 
 274 , 7 , 257925 , 7453 
 404 , 4 , 390736 , 7453 
 450 , 8 , 229904 , 10953 
 602 , 5 , 426921 , 4753 
 937 , 8 , 497074 , 10953 
 352 , 8 , 224727 , 7453 
 376 , 4 , 86600 , 7453 
 531 , 2 , 99602 , 5653 
 231 , 6 , 80645 , 7453 
 110 , 1 , 241247 , 7453 
 13 , 6 , 478277 , 7453 
 220 , 7 , 117455 , 7453 
 323 , 3 , 324503 , 9953 
 291 , 3 , 279288 , 6653 
 96 , 1 , 432164 , 10953 
 102 , 6 , 298844 , 10953 
 512 , 5 , 224537 , 7453 
 267 , 4 , 302968 , 6653 
 174 , 4 , 234866 , 7453 
 9 , 1 , 181467 , 7453 
 144 , 2 , 312526 , 7453 
 480 , 3 , 477459 , 7453 
 162 , 2 , 51229 , 7453 
 494 , 4 , 298148 , 6653 
 912 , 8 , 485994 , 10953 
 873 , 7 , 995302 , 5653 
 523 , 6 , 263738 , 6653 
 42 , 6 , 98259 , 7453 
 948 , 8 , 426950 , 7453 
 106 , 1 , 239119 , 7453 
 516 , 8 , 441791 , 4753 
 546 , 1 , 82960 , 7453 
 823 , 7 , 207054 , 10953 
 276 , 2 , 69631 , 4753 
 528 , 5 , 140599 , 7453 
 12 , 4 , 152817 , 7453 
 265 , 3 , 425672 , 5653 
 160 , 5 , 319793 , 9953 
 630 , 6 , 137411 , 4753 
 218 , 3 , 68199 , 7453 
 297 , 3 , 383221 , 4753 
 569 , 3 , 278144 , 10953 
 74 , 1 , 402487 , 7453 
 129 , 4 , 297712 , 5653 
 328 , 5 , 275239 , 7453 
 497 , 2 , 147534 , 10953 
 79 , 2 , 417212 , 5653 
 152 , 2 , 464038 , 6653 
 980 , 8 , 273188 , 6653 
 266 , 3 , 239165 , 7453 
 535 , 4 , 163441 , 4753 
 2 , 7 , 414953 , 9953 
 423 , 4 , 412051 , 4753 
 114 , 8 , 429299 , 7453 
 12 , 1 , 164345 , 7453 
 275 , 5 , 280026 , 7453 
 219 , 2 , 345506 , 7453 
 397 , 4 , 431756 , 7453 
 691 , 6 , 441588 , 6653 
 383 , 1 , 211772 , 5653 
 268 , 3 , 460990 , 7453 
 660 , 6 , 488341 , 4753 
 105 , 2 , 172652 , 5653 
 503 , 5 , 341527 , 7453 
 563 , 2 , 299457 , 7453 
 222 , 5 , 445317 , 7453 
 554 , 8 , 410401 , 4753 
 466 , 2 , 309272 , 5653 
 788 , 7 , 188754 , 10953 
 628 , 6 , 329346 , 7453 
 354 , 3 , 373173 , 9953 
 459 , 1 , 409144 , 10953 
 797 , 7 , 215556 , 7453 
 149 , 2 , 216799 , 7453 
 712 , 6 , 298247 , 7453 
 829 , 7 , 84381 , 4753 
 261 , 3 , 125412 , 5653 
 303 , 7 , 253517 , 7453 
 964 , 8 , 72909 , 7453 
 675 , 6 , 387799 , 7453 
 748 , 6 , 418090 , 7453 
 115 , 4 , 299700 , 7453 
 737 , 6 , 325071 , 4753 
 682 , 6 , 237784 , 10953 
 519 , 6 , 125677 , 7453 
 108 , 1 , 76837 , 7453 
 598 , 5 , 170909 , 7453 
 870 , 7 , 277756 , 7453 
 602 , 2 , 405286 , 7453 
 128 , 8 , 360507 , 7453 
 392 , 2 , 269912 , 5653 
 944 , 8 , 493916 , 7453 
 57 , 7 , 378206 , 7453 
 539 , 5 , 425640 , 7453 
 44 , 1 , 107144 , 10953 
 637 , 6 , 394880 , 7453 
 565 , 1 , 155491 , 4753 
 590 , 5 , 110959 , 7453 
 540 , 2 , 498256 , 7453 
 919 , 8 , 329922 , 5653 
 276 , 3 , 237134 , 10953 
 942 , 8 , 157940 , 7453 
 364 , 3 , 325283 , 9953 
 352 , 3 , 443843 , 9953 
 580 , 8 , 365993 , 9953 
 351 , 3 , 254298 , 6653 
 22 , 1 , 249397 , 7453 
 152 , 3 , 245317 , 7453 
 258 , 2 , 181051 , 4753 
 493 , 2 , 129964 , 10953 
 280 , 3 , 204613 , 9953 
 86 , 4 , 185988 , 6653 
 434 , 4 , 408846 , 7453 
 190 , 1 , 103788 , 6653 
 317 , 3 , 293682 , 5653 
 482 , 7 , 211245 , 7453 
 448 , 8 , 213270 , 7453 
 611 , 5 , 434869 , 7453 
 157 , 7 , 265849 , 7453 
 62 , 1 , 272619 , 7453 
 312 , 1 , 324407 , 7453 
 93 , 1 , 182645 , 7453 
 522 , 1 , 403987 , 7453 
 350 , 7 , 328248 , 6653 
 403 , 4 , 116034 , 10953 
 434 , 4 , 379257 , 7453 
 119 , 2 , 80938 , 6653 
 230 , 2 , 245916 , 7453 
 130 , 2 , 159545 , 7453 
 76 , 1 , 409968 , 6653 
 58 , 6 , 428450 , 7453 
 734 , 6 , 64452 , 5653 
 555 , 5 , 255261 , 4753 
 502 , 1 , 242987 , 7453 
 400 , 4 , 200665 , 7453 
 806 , 7 , 310150 , 7453 
 127 , 2 , 474418 , 6653 
 468 , 4 , 381229 , 7453 
 770 , 7 , 371792 , 5653 
 626 , 3 , 371380 , 7453 
 422 , 1 , 327441 , 4753 
 426 , 3 , 425592 , 5653 
 629 , 6 , 146705 , 7453 
 943 , 8 , 325322 , 5653 
 710 , 6 , 205453 , 9953 
 418 , 7 , 127323 , 9953 
 467 , 5 , 135069 , 7453 
 88 , 7 , 324417 , 7453 
 292 , 2 , 181957 , 7453 
 616 , 3 , 395855 , 7453 
 713 , 6 , 231609 , 7453 
 290 , 5 , 220623 , 9953 
 685 , 6 , 345111 , 4753 
 394 , 2 , 275637 , 7453 
 904 , 8 , 55514 , 10953 
 665 , 2 , 104445 , 7453 
 882 , 8 , 253954 , 10953 
 565 , 5 , 497036 , 7453 
 949 , 8 , 377808 , 6653 
 503 , 5 , 486736 , 7453 
 125 , 1 , 229959 , 7453 
 792 , 7 , 459481 , 4753 
 213 , 1 , 135728 , 6653 
 166 , 2 , 277683 , 9953 
 547 , 4 , 201074 , 10953 
 546 , 5 , 190161 , 4753 
 915 , 8 , 430727 , 7453 
 599 , 4 , 215859 , 7453 
 617 , 5 , 403124 , 10953 
 702 , 5 , 483599 , 7453 
 650 , 6 , 236872 , 5653 
 673 , 5 , 992042 , 5653 
 694 , 7 , 113076 , 7453 
 445 , 4 , 394469 , 7453 
 976 , 8 , 445178 , 6653 
 669 , 6 , 398815 , 7453 
 429 , 4 , 85939 , 7453 
 393 , 1 , 128664 , 10953 
 271 , 1 , 172354 , 10953 
 268 , 6 , 488712 , 5653 
 459 , 8 , 294187 , 7453 
 417 , 4 , 256521 , 4753 
 604 , 8 , 157959 , 7453 
 862 , 7 , 263734 , 10953 
 658 , 3 , 221758 , 6653 
 182 , 2 , 258267 , 7453 
 49 , 1 , 219342 , 5653 
 613 , 4 , 479625 , 7453 
 143 , 2 , 237472 , 5653 
 351 , 2 , 146176 , 7453 
 586 , 8 , 106196 , 7453 
 562 , 5 , 477383 , 9953 
 436 , 4 , 53420 , 7453 
 705 , 3 , 385056 , 7453 
 683 , 2 , 198020 , 7453 
 294 , 3 , 367961 , 4753 
 682 , 2 , 78864 , 10953 
 463 , 4 , 369022 , 5653 
 496 , 4 , 174248 , 6653 
 164 , 2 , 65732 , 5653 
 842 , 7 , 196596 , 7453 
 316 , 1 , 419211 , 4753 
 414 , 2 , 421294 , 10953 
 740 , 6 , 198425 , 7453 
 120 , 5 , 204583 , 9953 
 174 , 2 , 399568 , 6653 
 599 , 7 , 157546 , 7453 
 197 , 2 , 450642 , 5653 
 711 , 2 , 990459 , 7453 
 438 , 2 , 156700 , 7453 
 78 , 6 , 68549 , 7453 
 766 , 7 , 175245 , 7453 
 234 , 4 , 374681 , 4753 
 171 , 3 , 345097 , 7453 
 604 , 5 , 242549 , 7453 
 709 , 6 , 466839 , 7453 
 813 , 7 , 351522 , 5653 
 260 , 3 , 371994 , 10953 
 803 , 7 , 105924 , 10953 
