 PersonId , StockId , Quantity 
 265 , 75 , 3873 
 475 , 135 , 3998 
 196 , 56 , 1362 
 888 , 252 ,  
 492 , 140 , 1918 
 638 , 181 , 5429 
 320 , 91 , 4213 
 369 , 105 , 8614 
 245 , 70 , 8528 
 18 , 282 , 1408 
 611 , 173 , 694 
 2 , 1 , 5120 
 984 , 279 , 7857 
 962 , 273 , 7918 
 158 , 45 , 5952 
 195 , 219 , 741 
 92 , 26 , 3464 
 191 , 55 , 4679 
 124 , 18 , 6422 
 111 , 32 , 3689 
 733 , 208 , 4436 
 102 , 29 , 2961 
 840 , 238 , 3171 
 166 , 182 , 9578 
 573 , 163 , 4444 
 242 , 69 , 9766 
 838 , 237 , 5896 
 860 , 244 , 6608 
 448 , 127 , 1047 
 45 , 257 , 8289 
 804 , 228 , 5655 
 461 , 131 , 306 
 341 , 97 , 73 
 779 , 221 , 1578 
 427 , 121 , 6978 
 648 , 184 , 8392 
 71 , 283 , 5521 
 609 , 173 , 379 
 90 , 26 , 9334 
 624 , 177 , 8619 
 991 , 281 ,  
 874 , 248 , 2579 
 540 , 153 , 8767 
 138 , 39 , 3630 
 244 , 1 , 5156 
 558 , 158 , 3971 
 169 , 191 , 264 
 380 , 108 , 5648 
 867 , 246 , 9553 
 84 , 92 , 153 
 787 , 223 , 6409 
 520 , 148 , 3425 
 830 , 235 , 9932 
 542 , 154 , 4398 
 130 , 148 , 9994 
 163 , 47 , 2624 
 635 , 180 , 1464 
 554 , 157 , 701 
 20 , 90 , 4421 
 250 , 71 , 6918 
 801 , 227 , 2152 
 264 , 131 , 9534 
 922 , 261 , 7606 
 47 , 96 , 7566 
 193 , 55 , 239 
 178 , 43 , 5754 
 662 , 188 , 387 
 206 , 59 , 5047 
 535 , 152 , 6278 
 187 , 145 , 940 
 774 , 219 , 7560 
 483 , 137 , 5220 
 254 , 29 , 3084 
 439 , 125 , 5346 
 120 , 34 , 7804 
 260 , 244 , 1110 
 563 , 160 , 5669 
 703 , 199 , 9331 
 641 , 182 , 8015 
 16 , 5 , 5606 
 148 , 162 , 4180 
 48 , 130 , 4117 
 189 , 282 , 6344 
 123 , 35 , 6455 
 121 , 35 , 4639 
 284 , 81 , 4864 
 103 , 179 , 5723 
 800 , 227 , 5909 
 232 , 73 , 79 
 156 , 75 , 8955 
 13 , 4 , 5514 
 446 , 127 , 7690 
 92 , 84 , 1100 
 255 , 238 , 3461 
 824 , 233 , 7181 
 531 , 151 , 9086 
 952 , 270 , 4974 
 184 , 58 , 1200 
 946 , 268 , 3391 
 852 , 242 , 9402 
 64 , 254 , 3584 
 467 , 133 , 5218 
 845 , 239 , 9371 
 357 , 101 , 8613 
 552 , 157 , 2593 
 305 , 87 , 1188 
 419 , 119 , 340 
 391 , 111 , 4585 
 422 , 120 , 6595 
 663 , 188 , 8884 
 601 , 170 , 6955 
 932 , 264 , 2133 
 913 , 259 , 2687 
 300 , 85 , 8815 
 681 , 193 , 2738 
 343 , 97 , 8036 
 334 , 133 , 3189 
 320 , 227 , 1150 
 175 , 62 , 2927 
 910 , 258 , 5376 
 284 , 148 , 30 
 17 , 244 , 4479 
 950 , 269 , 4968 
 271 , 77 , 7324 
 215 , 141 , 5426 
 328 , 93 , 9870 
 189 , 54 , 4120 
 217 , 74 , 9623 
 145 , 175 , 8165 
 589 , 167 , 8719 
 909 , 257 , 6137 
 122 , 102 , 4468 
 757 , 215 , 5940 
 789 , 224 , 8614 
 307 , 34 , 2022 
 103 , 30 , 8962 
 138 , 174 , 4747 
 238 , 181 , 7732 
 571 , 162 , 3861 
 183 , 231 , 3450 
 865 , 245 , 4523 
 240 , 68 , 1137 
 378 , 107 , 9314 
 593 , 168 , 1195 
 94 , 188 , 1999 
 81 , 23 , 3381 
 534 , 151 , 5003 
 242 , 282 , 2286 
 160 , 46 , 723 
 481 , 136 , 9146 
 155 , 19 , 5896 
 153 , 44 , 3823 
 986 , 279 , 8274 
 37 , 11 , 8016 
 95 , 94 , 9372 
 35 , 10 , 9105 
 518 , 147 , 250 
 574 , 163 , 2046 
 308 , 244 , 3186 
 225 , 64 , 2724 
 117 , 33 , 7069 
 247 , 45 , 717 
 776 , 220 , 6421 
 833 , 236 , 7877 
 755 , 214 , 2747 
 241 , 69 , 2487 
 176 , 50 , 6194 
 124 , 35 , 4073 
 180 , 51 , 6792 
 578 , 164 , 3776 
 77 , 207 , 3288 
 285 , 235 , 5458 
 229 , 65 , 7289 
 401 , 114 , 9478 
 45 , 13 , 852 
 135 , 80 , 8893 
 485 , 138 , 5165 
 336 , 102 , 3772 
 608 , 172 , 5324 
 416 , 118 , 2045 
 46 , 225 , 4866 
 297 , 55 , 1833 
 368 , 29 , 8900 
 135 , 39 , 9020 
 526 , 149 , 2822 
 756 , 214 , 2313 
 375 , 107 , 6195 
 721 , 204 , 7924 
 457 , 130 , 9243 
 86 , 25 , 2917 
 586 , 166 , 8712 
 41 , 12 , 2700 
 778 , 221 , 4545 
 347 , 98 , 1137 
 144 , 199 , 6382 
 708 , 201 , 3806 
 465 , 132 , 4717 
 206 , 155 , 1436 
 259 , 238 , 8449 
 424 , 120 , 9513 
 80 , 257 , 7187 
 410 , 116 , 929 
 816 , 231 , 5495 
 216 , 165 , 6947 
 752 , 213 , 5857 
 235 , 67 , 437 
 924 , 262 , 6535 
 585 , 166 , 8796 
 210 , 281 , 7164 
 53 , 15 , 478 
 550 , 156 , 3939 
 161 , 46 , 6479 
 966 , 274 , 6723 
 444 , 126 , 1140 
 431 , 122 , 7858 
 439 , 262 , 5235 
 56 , 16 , 1817 
 311 , 182 , 7402 
 308 , 88 , 5054 
 269 , 283 , 433 
 866 , 245 , 6292 
 455 , 129 , 8270 
 667 , 189 , 4831 
 95 , 27 , 3874 
 993 , 281 , 5065 
 689 , 195 , 588 
 52 , 15 , 913 
 205 , 250 , 6152 
 701 , 199 , 3096 
 296 , 96 , 7046 
 435 , 231 , 4176 
 940 , 267 , 3728 
 519 , 147 , 5323 
 150 , 53 , 5811 
 511 , 145 , 4859 
 385 , 109 , 3936 
 375 , 107 , 6339 
 521 , 148 , 1953 
 384 , 109 , 3162 
 291 , 83 , 2385 
 396 , 236 , 5779 
 791 , 224 , 7399 
 729 , 207 , 760 
 405 , 115 , 8765 
 536 , 152 , 8979 
 425 , 121 , 2233 
 75 , 22 , 5977 
 335 , 95 , 3405 
 917 , 260 , 3279 
 777 , 220 , 1146 
 73 , 185 , 1988 
 327 , 234 , 7316 
 237 , 68 , 6382 
 66 , 238 , 8016 
 278 , 158 , 3220 
 180 , 128 , 8918 
 140 , 211 ,  
 722 , 205 , 6099 
 362 , 167 , 1620 
 251 , 18 , 1882 
 183 , 52 , 5269 
 42 , 12 , 9525 
 884 , 251 , 382 
 655 , 186 , 5700 
 485 , 67 , 118 
 151 , 173 , 6302 
 642 , 182 , 210 
 782 , 222 , 1155 
 142 , 265 , 912 
 46 , 13 , 6282 
 29 , 155 , 3922 
 301 , 152 , 8897 
 258 , 73 , 9865 
 18 , 5 , 4239 
 167 , 48 , 2669 
 479 , 22 , 4654 
 1 , 206 , 8894 
 360 , 75 , 7510 
 6 , 159 , 6067 
 568 , 161 , 4896 
 615 , 174 , 2832 
 717 , 203 , 4611 
 967 , 274 , 7508 
 925 , 262 , 2872 
 147 , 194 , 1949 
 457 , 281 , 5057 
 704 , 200 , 6861 
 347 , 193 , 7346 
 627 , 178 , 7308 
 60 , 17 , 2590 
 499 , 182 , 5941 
 657 , 186 , 7838 
 933 , 264 , 4719 
 321 , 91 , 71 
 109 , 31 , 7894 
 474 , 224 , 2860 
 7 , 257 , 5396 
 508 , 22 , 1698 
 169 , 48 , 642 
 927 , 263 , 2462 
 784 , 222 , 8768 
 293 , 83 , 1077 
 141 , 114 , 5065 
 871 , 247 , 7123 
 177 , 66 , 9358 
 118 , 34 , 2250 
 567 , 161 , 2124 
 70 , 63 , 3076 
 279 , 191 , 3713 
 304 , 137 , 3361 
 726 , 206 , 4327 
 382 , 137 , 1407 
 288 , 47 , 31 
 21 , 6 , 6725 
 261 , 127 , 9050 
 349 , 132 , 658 
 530 , 22 , 2016 
 960 , 272 , 7511 
 969 , 275 , 3750 
 244 , 69 , 5061 
 529 , 257 , 9442 
 246 , 273 , 2864 
 164 , 44 , 3848 
 274 , 248 , 8322 
 404 , 115 , 340 
 890 , 252 , 6084 
 602 , 171 ,  
 937 , 265 , 4178 
 352 , 258 , 9794 
 376 , 107 , 6346 
 531 , 48 , 9809 
 231 , 185 , 9258 
 110 , 27 , 7195 
 13 , 179 ,  
 220 , 222 , 6868 
 323 , 92 , 3605 
 291 , 90 , 6129 
 96 , 27 , 1754 
 102 , 197 , 9546 
 512 , 161 , 385 
 267 , 121 , 3514 
 174 , 137 , 9700 
 9 , 3 , 2932 
 144 , 41 , 3784 
 480 , 95 , 3633 
 162 , 46 , 3946 
 494 , 140 , 8264 
 912 , 258 , 4533 
 873 , 248 , 7806 
 523 , 182 , 7994 
 42 , 203 , 1021 
 948 , 269 , 7235 
 106 , 30 , 844 
 516 , 262 , 7886 
 546 , 6 , 7948 
 823 , 233 , 5581 
 276 , 39 , 3021 
 528 , 150 , 5903 
 12 , 133 , 7230 
 265 , 97 , 6744 
 160 , 147 , 6783 
 630 , 179 , 3273 
 218 , 88 , 8073 
 297 , 84 , 2331 
 569 , 90 , 6731 
 74 , 21 , 3904 
 129 , 110 , 4103 
 328 , 151 , 7132 
 497 , 68 , 4540 
 79 , 36 , 6427 
 152 , 43 , 595 
 980 , 278 , 7296 
 266 , 76 , 1113 
 535 , 114 , 1631 
 2 , 232 , 3997 
 423 , 120 , 4051 
 114 , 270 , 2128 
 12 , 4 , 5657 
 275 , 153 , 9232 
 219 , 69 , 9902 
 397 , 113 , 57 
 691 , 196 , 5807 
 383 , 18 , 8279 
 268 , 76 , 6184 
 660 , 187 , 8773 
 105 , 63 , 9111 
 503 , 155 , 8965 
 563 , 48 , 1372 
 222 , 174 , 9247 
 554 , 273 , 1286 
 466 , 53 , 583 
 788 , 223 , 226 
 628 , 178 , 4524 
 354 , 101 , 2801 
 459 , 15 , 3603 
 797 , 226 , 240 
 149 , 49 , 1627 
 712 , 202 , 601 
 829 , 235 , 7054 
 261 , 74 , 9729 
 303 , 219 , 9843 
 964 , 273 , 1131 
 675 , 191 , 9994 
 748 , 212 , 1378 
 115 , 139 , 7399 
 737 , 209 , 3725 
 682 , 193 , 6122 
 519 , 200 , 9214 
 108 , 31 , 3888 
 598 , 169 , 3897 
 870 , 246 , 3453 
 602 , 36 ,  
 128 , 280 , 7364 
 392 , 64 , 6671 
 944 , 268 , 7328 
 57 , 234 , 6687 
 539 , 161 , 975 
 44 , 13 , 4995 
 637 , 181 , 1889 
 565 , 27 , 3559 
 590 , 150 , 7620 
 540 , 63 , 4940 
 919 , 260 , 2731 
 276 , 78 , 7885 
 942 , 267 , 3254 
 364 , 103 , 5843 
 352 , 100 , 369 
 580 , 259 , 2771 
 351 , 100 , 8312 
 22 , 7 , 8028 
 152 , 71 , 3756 
 258 , 69 , 2423 
 493 , 52 , 1526 
 280 , 79 , 8604 
 86 , 133 , 9503 
 434 , 123 , 58 
 190 , 5 , 8926 
 317 , 90 , 5814 
 482 , 220 , 6900 
 448 , 262 , 8786 
 611 , 153 , 5047 
 157 , 239 , 2988 
 62 , 18 , 9751 
 312 , 5 , 7484 
 93 , 27 , 5350 
 522 , 17 , 7834 
 350 , 227 , 3220 
 403 , 115 , 3555 
 434 , 116 , 7196 
 119 , 64 , 6114 
 230 , 65 , 2628 
 130 , 37 , 5245 
 76 , 22 , 9739 
 58 , 209 , 7043 
 734 , 208 , 9434 
 555 , 157 , 4789 
 502 , 13 , 7112 
 400 , 113 , 3247 
 806 , 229 , 6740 
 127 , 36 , 5536 
 468 , 109 , 7029 
 770 , 218 , 954 
 626 , 101 , 7810 
 422 , 25 , 1185 
 426 , 99 , 132 
 629 , 178 , 1473 
 943 , 267 , 1926 
 710 , 201 , 8760 
 418 , 214 , 7169 
 467 , 145 , 7269 
 88 , 230 , 7761 
 292 , 71 , 5161 
 616 , 76 , 8096 
 713 , 202 , 3103 
 290 , 157 , 8512 
 685 , 194 , 4631 
 394 , 45 , 5189 
 904 , 256 , 5247 
 665 , 52 , 2535 
 882 , 250 , 5420 
 565 , 160 , 2623 
 949 , 269 , 6815 
 503 , 143 , 5575 
 125 , 36 , 2197 
 792 , 225 , 5400 
 213 , 35 , 8511 
 166 , 47 , 2685 
 547 , 127 , 4484 
 546 , 155 , 9171 
 915 , 259 , 4714 
 599 , 110 , 2947 
 617 , 175 , 5679 
 702 , 145 , 9075 
 650 , 184 , 1364 
 673 , 153 , 1756 
 694 , 218 , 4093 
 489 , 139 , 5179 
 976 , 277 , 8565 
 669 , 190 , 7352 
 429 , 132 , 3876 
 393 , 33 , 5908 
 271 , 26 , 4460 
 268 , 184 , 6387 
 899 , 255 , 9927 
 417 , 118 , 8354 
 604 , 278 , 7467 
 862 , 244 , 7150 
 658 , 103 , 6635 
 182 , 52 , 8531 
 49 , 14 , 4802 
 613 , 113 , 9600 
 143 , 41 , 1865 
 351 , 62 , 711 
 586 , 262 , 1319 
 562 , 160 , 2912 
 436 , 124 , 213 
 705 , 76 , 5379 
 683 , 65 , 5612 
 294 , 84 , 5786 
 682 , 64 , 1621 
 463 , 131 , 8789 
 496 , 141 , 7443 
 164 , 47 , 9590 
 842 , 239 , 2455 
 316 , 35 , 4322 
 414 , 55 , 2082 
 740 , 210 , 6087 
 120 , 175 , 6732 
 174 , 50 , 1347 
 533 , 222 , 4419 
 197 , 56 , 9453 
 711 , 52 , 6624 
 438 , 67 , 7895 
 78 , 204 , 8659 
 766 , 217 , 9513 
 234 , 135 , 8163 
 171 , 86 , 428 
 604 , 171 , 5648 
 709 , 201 , 3844 
 813 , 230 , 7934 
 260 , 74 , 1360 
 803 , 227 , 6051 
 267 , 76 , 5953 
 357 , 141 , 4368 
 465 , 147 , 5114 
 246 , 70 , 1082 
 406 , 114 , 4967 
 587 , 166 ,  
 88 , 25 , 7756 
 104 , 30 , 8452 
 715 , 143 , 1543 
 259 , 74 , 8715 
 639 , 193 , 9567 
 8 , 126 , 2779 
 277 , 1 , 5730 
 622 , 176 , 5088 
 532 , 263 , 8466 
 691 , 228 , 4871 
 671 , 220 , 3931 
 224 , 64 , 5605 
 398 , 68 , 6272 
 552 , 69 , 1380 
 81 , 54 , 418 
 398 , 113 ,  
 853 , 242 , 5288 
 215 , 61 , 4112 
 262 , 257 , 5350 
 498 , 141 , 2975 
 159 , 45 , 3970 
 781 , 25 , 2053 
 221 , 38 , 1807 
 665 , 189 , 4750 
 522 , 148 , 9786 
 72 , 137 , 9731 
 515 , 274 , 1768 
 661 , 187 , 7852 
 405 , 65 , 260 
 668 , 189 , 2738 
 324 , 92 , 1489 
 228 , 249 , 5221 
 717 , 225 , 7341 
 384 , 44 , 3240 
 600 , 151 , 7115 
 70 , 20 , 8331 
 125 , 80 , 8280 
 91 , 266 , 9804 
 501 , 142 , 5705 
 793 , 225 , 9887 
 718 , 203 , 3844 
 576 , 41 , 2165 
 549 , 156 , 3570 
 776 , 141 , 1046 
 828 , 235 , 3291 
 409 , 138 , 6497 
 572 , 162 , 43 
 669 , 5 , 7573 
 621 , 174 , 6553 
 869 , 246 , 942 
 68 , 183 , 762 
 338 , 87 , 1840 
 339 , 96 , 9019 
 710 , 256 , 2138 
 428 , 122 , 7113 
 1 , 1 , 2914 
 970 , 275 , 5948 
 431 , 238 , 3701 
 738 , 209 , 1758 
 200 , 57 , 8984 
 82 , 135 , 7798 
 592 , 97 , 4928 
 393 , 112 , 5469 
 773 , 74 , 2350 
 542 , 137 , 6976 
 736 , 255 , 9650 
 432 , 123 , 6590 
 802 , 25 , 2365 
 706 , 202 , 9157 
 367 , 34 , 3049 
 116 , 33 , 2138 
 916 , 259 , 5484 
 714 , 202 , 8408 
 115 , 33 , 5464 
 781 , 221 ,  
 676 , 5 , 9131 
 539 , 153 , 1805 
 370 , 181 , 8483 
 838 , 237 , 760 
 38 , 11 , 1458 
 561 , 258 , 3288 
 355 , 269 , 9687 
 742 , 14 , 4196 
 364 , 102 , 1299 
 226 , 7 , 9319 
 181 , 6 , 1975 
 857 , 153 , 9650 
 889 , 252 , 6203 
 543 , 206 , 5203 
 815 , 151 , 6128 
 76 , 29 , 4200 
 446 , 126 , 2383 
 840 , 57 , 4578 
 301 , 86 , 8046 
 670 , 90 , 6721 
 377 , 107 , 2088 
 437 , 213 , 8917 
 290 , 82 , 6696 
 14 , 4 , 1219 
 106 , 263 , 4071 
 442 , 15 , 3641 
 826 , 138 , 9907 
 304 , 86 , 7679 
 493 , 140 , 8416 
 753 , 213 , 3504 
 403 , 207 , 8804 
 591 , 168 , 5279 
 646 , 64 , 3432 
 757 , 35 , 3555 
 413 , 117 , 3007 
 753 , 131 , 5307 
 332 , 94 , 4431 
 836 , 1 , 5188 
 461 , 199 , 2242 
 472 , 83 , 8470 
 26 , 149 , 9298 
 534 , 83 , 3602 
 24 , 10 , 3629 
 601 , 67 , 6151 
 891 , 132 , 375 
 864 , 102 , 7327 
 544 , 154 , 3447 
 362 , 103 , 1387 
 764 , 52 , 6238 
 866 , 6 , 4957 
 541 , 191 , 666 
 583 , 203 , 7561 
 890 , 117 , 7438 
 798 , 226 , 1687 
 476 , 115 , 3375 
 322 , 75 , 214 
 249 , 71 , 5109 
 272 , 177 , 7263 
 861 , 258 , 6690 
 985 , 279 , 7818 
 426 , 121 , 3381 
 647 , 183 , 2008 
 557 , 158 , 5780 
 411 , 173 , 7795 
 751 , 84 , 515 
 429 , 122 , 6696 
 597 , 89 , 6217 
 767 , 217 , 2648 
 313 , 89 , 2195 
 100 , 20 , 820 
 3 , 218 , 9770 
 872 , 126 , 7196 
 500 , 142 , 2335 
 11 , 4 , 9577 
 528 , 224 , 7424 
 84 , 24 , 8486 
 74 , 204 , 5288 
 54 , 16 , 545 
 551 , 156 , 844 
 572 , 161 , 6745 
 302 , 145 , 194 
 889 , 35 , 8520 
 718 , 35 , 1440 
 473 , 134 , 3459 
 378 , 23 , 2838 
 879 , 4 , 1243 
 204 , 51 , 7841 
 573 , 121 , 1745 
 766 , 204 , 179 
 116 , 43 , 2793 
 214 , 61 , 198 
 428 , 201 , 7168 
 249 , 26 , 8498 
 514 , 203 , 4425 
 373 , 245 , 5088 
 880 , 249 , 7289 
 686 , 209 , 7823 
 478 , 121 , 5834 
 699 , 267 , 5635 
 388 , 10 , 3679 
 689 , 14 , 1109 
 425 , 221 , 798 
 50 , 14 , 9192 
 114 , 33 , 5418 
 663 , 71 , 5188 
 809 , 65 , 3470 
 216 , 61 , 5225 
 606 , 114 , 7862 
 8 , 3 , 4263 
 526 , 91 , 4890 
 430 , 155 , 4926 
 235 , 56 , 4564 
 73 , 21 , 6419 
 225 , 97 , 9945 
 768 , 135 , 7623 
 303 , 86 , 4862 
 525 , 149 , 568 
 931 , 24 , 2321 
 653 , 150 , 4957 
 666 , 80 , 9272 
 704 , 71 , 8856 
 868 , 252 , 4471 
 48 , 14 , 2469 
 755 , 47 , 9403 
 856 , 242 , 622 
 61 , 18 , 2601 
 209 , 100 , 8698 
 762 , 222 , 7911 
 146 , 42 , 4488 
 911 , 258 , 135 
 349 , 99 , 663 
 325 , 84 , 9455 
 112 , 32 , 4910 
 593 , 147 , 7166 
 805 , 148 , 5635 
 253 , 208 , 9397 
 598 , 21 , 9328 
 964 , 3 , 6023 
 98 , 63 , 8272 
 332 , 242 , 9368 
 799 , 226 , 6019 
 957 , 221 , 9980 
 339 , 119 , 7482 
 399 , 113 , 5289 
 605 , 171 , 7867 
 19 , 6 , 5634 
 289 , 180 , 749 
 750 , 213 , 8553 
 664 , 69 , 6803 
 309 , 160 , 226 
 355 , 101 , 6721 
 564 , 185 , 5501 
 203 , 254 , 877 
 342 , 188 , 6363 
 207 , 223 , 4824 
 709 , 45 , 6638 
 731 , 207 , 8330 
 199 , 251 , 9790 
 784 , 74 , 4795 
 795 , 54 , 2586 
 877 , 248 , 4773 
 847 , 123 , 7314 
 321 , 73 , 3374 
 97 , 28 , 4128 
 972 , 276 , 4227 
 960 , 71 , 5472 
 973 , 24 , 9654 
 918 , 158 , 9254 
 820 , 232 , 4310 
 489 , 211 , 8227 
 750 , 65 , 5534 
 989 , 147 , 4545 
 739 , 244 , 4050 
 676 , 192 , 5590 
 806 , 137 , 3253 
 472 , 134 , 8876 
 14 , 133 , 6990 
 649 , 184 , 7180 
 223 , 159 , 1535 
 837 , 237 , 4988 
 916 , 121 , 1851 
 603 , 171 , 144 
 543 , 154 , 1107 
 584 , 166 , 4261 
 556 , 158 , 3414 
 697 , 198 , 5162 
 796 , 113 , 8578 
 450 , 128 , 8547 
 732 , 207 , 2341 
 365 , 104 , 8998 
 787 , 1 , 1067 
 359 , 54 , 9539 
 3 , 213 , 1227 
 898 , 10 , 5685 
 730 , 277 , 4594 
 367 , 104 , 8705 
 287 , 148 , 6606 
 322 , 92 , 3353 
 943 , 121 , 1062 
 6 , 101 , 2394 
 27 , 265 , 5980 
 79 , 23 , 1496 
 931 , 264 , 4243 
 499 , 142 , 8576 
 334 , 95 , 4693 
 859 , 238 , 2175 
 930 , 224 , 1451 
 618 , 63 , 5287 
 181 , 52 , 3110 
 314 , 89 , 5948 
 458 , 195 , 9649 
 30 , 24 , 1149 
 282 , 93 , 8254 
 341 , 120 , 9808 
 764 , 217 , 735 
 44 , 78 , 4628 
 558 , 252 , 6207 
 85 , 191 , 9113 
 286 , 154 , 714 
 656 , 79 , 9065 
 797 , 242 , 6895 
 2 , 180 , 1106 
 648 , 234 , 6912 
 456 , 129 , 5313 
 741 , 210 , 7160 
 494 , 12 , 5995 
 768 , 218 , 3317 
 404 , 235 , 8366 
 427 , 198 , 995 
